date,sunrise,sunrise-bearing,sunset,sunset-bearing,day-length,solar-noon,noon-elevation
27/12/2019,08:05,128,15:57,232,07:51:15,12:01,15.2
28/12/2019,08:06,128,15:57,232,07:51:53,12:01,15.3
29/12/2019,08:06,128,15:58,232,07:52:37,12:02,15.3
30/12/2019,08:06,128,15:59,232,07:53:27,12:02,15.4
31/12/2019,08:06,128,16:00,232,07:54:24,12:03,15.5
1/1/2020,08:06,128,16:01,232,07:55:27,12:03,15.5
2/1/2020,08:06,127,16:02,233,07:56:36,12:04,15.6
3/1/2020,08:05,127,16:03,233,07:57:51,12:04,15.7
4/1/2020,08:05,127,16:04,233,07:59:12,12:05,15.8
5/1/2020,08:05,127,16:06,233,08:00:39,12:05,15.9
6/1/2020,08:05,127,16:07,233,08:02:12,12:06,16
7/1/2020,08:04,126,16:08,234,08:03:50,12:06,16.1
8/1/2020,08:04,126,16:09,234,08:05:34,12:06,16.3
9/1/2020,08:03,126,16:11,234,08:07:23,12:07,16.4
10/1/2020,08:03,126,16:12,234,08:09:18,12:07,16.6
11/1/2020,08:02,125,16:14,235,08:11:18,12:08,16.7
12/1/2020,08:02,125,16:15,235,08:13:22,12:08,16.9
13/1/2020,08:01,125,16:16,235,08:15:32,12:08,17
14/1/2020,08:00,125,16:18,236,08:17:47,12:09,17.2
15/1/2020,07:59,124,16:19,236,08:20:06,12:09,17.4
16/1/2020,07:59,124,16:21,236,08:22:29,12:10,17.6
17/1/2020,07:58,124,16:23,237,08:24:57,12:10,17.8
18/1/2020,07:57,123,16:24,237,08:27:30,12:10,18
19/1/2020,07:56,123,16:26,237,08:30:06,12:11,18.2
20/1/2020,07:55,122,16:28,238,08:32:47,12:11,18.4
21/1/2020,07:54,122,16:29,238,08:35:31,12:11,18.6
22/1/2020,07:53,122,16:31,238,08:38:19,12:11,18.8
23/1/2020,07:51,121,16:33,239,08:41:11,12:12,19
24/1/2020,07:50,121,16:34,239,08:44:06,12:12,19.3
25/1/2020,07:49,120,16:36,240,08:47:04,12:12,19.5
26/1/2020,07:48,120,16:38,240,08:50:06,12:12,19.8
27/1/2020,07:46,120,16:40,241,08:53:11,12:13,20
28/1/2020,07:45,119,16:41,241,08:56:19,12:13,20.3
29/1/2020,07:44,119,16:43,242,08:59:29,12:13,20.5
30/1/2020,07:42,118,16:45,242,09:02:43,12:13,20.8
31/1/2020,07:41,118,16:47,242,09:05:59,12:13,21.1
1/2/2020,07:39,117,16:48,243,09:09:17,12:14,21.4
2/2/2020,07:38,117,16:50,243,09:12:38,12:14,21.7
3/2/2020,07:36,116,16:52,244,09:16:01,12:14,21.9
4/2/2020,07:34,116,16:54,244,09:19:27,12:14,22.2
5/2/2020,07:33,115,16:56,245,09:22:54,12:14,22.5
6/2/2020,07:31,115,16:58,246,09:26:24,12:14,22.8
7/2/2020,07:29,114,16:59,246,09:29:55,12:14,23.1
8/2/2020,07:28,114,17:01,247,09:33:28,12:14,23.5
9/2/2020,07:26,113,17:03,247,09:37:02,12:14,23.8
10/2/2020,07:24,113,17:05,248,09:40:39,12:14,24.1
11/2/2020,07:22,112,17:07,248,09:44:17,12:14,24.4
12/2/2020,07:21,111,17:09,249,09:47:56,12:14,24.8
13/2/2020,07:19,111,17:10,249,09:51:37,12:14,25.1
14/2/2020,07:17,110,17:12,250,09:55:19,12:14,25.4
15/2/2020,07:15,110,17:14,250,09:59:02,12:14,25.8
16/2/2020,07:13,109,17:16,251,10:02:47,12:14,26.1
17/2/2020,07:11,109,17:18,252,10:06:32,12:14,26.5
18/2/2020,07:09,108,17:20,252,10:10:19,12:14,26.8
19/2/2020,07:07,107,17:21,253,10:14:07,12:14,27.2
20/2/2020,07:05,107,17:23,253,10:17:55,12:14,27.5
21/2/2020,07:03,106,17:25,254,10:21:45,12:14,27.9
22/2/2020,07:01,106,17:27,255,10:25:35,12:14,28.2
23/2/2020,06:59,105,17:29,255,10:29:26,12:13,28.6
24/2/2020,06:57,105,17:30,256,10:33:18,12:13,29
25/2/2020,06:55,104,17:32,256,10:37:10,12:13,29.3
26/2/2020,06:53,103,17:34,257,10:41:03,12:13,29.7
27/2/2020,06:51,103,17:36,258,10:44:57,12:13,30.1
28/2/2020,06:49,102,17:38,258,10:48:51,12:13,30.5
29/2/2020,06:47,101,17:39,259,10:52:46,12:12,30.8
1/3/2020,06:44,101,17:41,259,10:56:41,12:12,31.2
2/3/2020,06:42,100,17:43,260,11:00:36,12:12,31.6
3/3/2020,06:40,100,17:45,261,11:04:32,12:12,32
4/3/2020,06:38,99,17:46,261,11:08:29,12:12,32.4
5/3/2020,06:36,98,17:48,262,11:12:25,12:11,32.8
6/3/2020,06:33,98,17:50,263,11:16:22,12:11,33.1
7/3/2020,06:31,97,17:52,263,11:20:19,12:11,33.5
8/3/2020,06:29,96,17:53,264,11:24:16,12:11,33.9
9/3/2020,06:27,96,17:55,264,11:28:14,12:10,34.3
10/3/2020,06:25,95,17:57,265,11:32:12,12:10,34.7
11/3/2020,06:22,95,17:58,266,11:36:09,12:10,35.1
12/3/2020,06:20,94,18:00,266,11:40:07,12:10,35.5
13/3/2020,06:18,93,18:02,267,11:44:06,12:09,35.9
14/3/2020,06:16,93,18:04,268,11:48:04,12:09,36.3
15/3/2020,06:13,92,18:05,268,11:52:02,12:09,36.7
16/3/2020,06:11,91,18:07,269,11:56:01,12:08,37.1
17/3/2020,06:09,91,18:09,270,11:59:59,12:08,37.5
18/3/2020,06:06,90,18:10,270,12:03:57,12:08,37.9
19/3/2020,06:04,90,18:12,271,12:07:56,12:08,38.3
20/3/2020,06:02,89,18:14,271,12:11:54,12:07,38.6
21/3/2020,06:00,88,18:16,272,12:15:53,12:07,39
22/3/2020,05:57,88,18:17,273,12:19:51,12:07,39.4
23/3/2020,05:55,87,18:19,273,12:23:49,12:06,39.8
24/3/2020,05:53,86,18:21,274,12:27:47,12:06,40.2
25/3/2020,05:50,86,18:22,275,12:31:45,12:06,40.6
26/3/2020,05:48,85,18:24,275,12:35:43,12:06,41
27/3/2020,05:46,84,18:26,276,12:39:41,12:05,41.4
28/3/2020,05:44,84,18:27,276,12:43:39,12:05,41.8
29/3/2020,06:41,83,19:29,277,12:47:36,13:05,42.2
30/3/2020,06:39,83,19:31,278,12:51:33,13:04,42.6
31/3/2020,06:37,82,19:32,278,12:55:30,13:04,43
1/4/2020,06:35,81,19:34,279,12:59:26,13:04,43.3
2/4/2020,06:32,81,19:36,280,13:03:22,13:03,43.7
3/4/2020,06:30,80,19:37,280,13:07:18,13:03,44.1
4/4/2020,06:28,79,19:39,281,13:11:13,13:03,44.5
5/4/2020,06:26,79,19:41,281,13:15:08,13:03,44.9
6/4/2020,06:23,78,19:42,282,13:19:03,13:02,45.2
7/4/2020,06:21,78,19:44,283,13:22:57,13:02,45.6
8/4/2020,06:19,77,19:46,283,13:26:50,13:02,46
9/4/2020,06:17,76,19:47,284,13:30:43,13:01,46.4
10/4/2020,06:14,76,19:49,285,13:34:36,13:01,46.7
11/4/2020,06:12,75,19:51,285,13:38:28,13:01,47.1
12/4/2020,06:10,75,19:52,286,13:42:19,13:01,47.5
13/4/2020,06:08,74,19:54,286,13:46:10,13:00,47.8
14/4/2020,06:06,73,19:56,287,13:50:00,13:00,48.2
15/4/2020,06:04,73,19:57,288,13:53:49,13:00,48.5
16/4/2020,06:01,72,19:59,288,13:57:38,13:00,48.9
17/4/2020,05:59,72,20:01,289,14:01:26,12:59,49.2
18/4/2020,05:57,71,20:02,289,14:05:13,12:59,49.6
19/4/2020,05:55,70,20:04,290,14:08:59,12:59,49.9
20/4/2020,05:53,70,20:06,290,14:12:45,12:59,50.3
21/4/2020,05:51,69,20:07,291,14:16:29,12:59,50.6
22/4/2020,05:49,69,20:09,292,14:20:12,12:58,51
23/4/2020,05:47,68,20:11,292,14:23:54,12:58,51.3
24/4/2020,05:45,68,20:12,293,14:27:35,12:58,51.6
25/4/2020,05:43,67,20:14,293,14:31:15,12:58,51.9
26/4/2020,05:41,67,20:16,294,14:34:53,12:58,52.3
27/4/2020,05:39,66,20:17,294,14:38:31,12:58,52.6
28/4/2020,05:37,65,20:19,295,14:42:06,12:57,52.9
29/4/2020,05:35,65,20:21,295,14:45:41,12:57,53.2
30/4/2020,05:33,64,20:22,296,14:49:13,12:57,53.5
1/5/2020,05:31,64,20:24,296,14:52:44,12:57,53.8
2/5/2020,05:29,63,20:26,297,14:56:14,12:57,54.1
3/5/2020,05:28,63,20:27,297,14:59:41,12:57,54.4
4/5/2020,05:26,62,20:29,298,15:03:07,12:57,54.7
5/5/2020,05:24,62,20:30,298,15:06:30,12:57,55
6/5/2020,05:22,61,20:32,299,15:09:52,12:57,55.2
7/5/2020,05:20,61,20:34,299,15:13:11,12:57,55.5
8/5/2020,05:19,60,20:35,300,15:16:29,12:56,55.8
9/5/2020,05:17,60,20:37,300,15:19:44,12:56,56.1
10/5/2020,05:15,59,20:38,301,15:22:56,12:56,56.3
11/5/2020,05:14,59,20:40,301,15:26:06,12:56,56.6
12/5/2020,05:12,59,20:41,302,15:29:14,12:56,56.8
13/5/2020,05:11,58,20:43,302,15:32:19,12:56,57.1
14/5/2020,05:09,58,20:45,303,15:35:21,12:56,57.3
15/5/2020,05:08,57,20:46,303,15:38:20,12:56,57.5
16/5/2020,05:06,57,20:48,303,15:41:16,12:56,57.8
17/5/2020,05:05,56,20:49,304,15:44:10,12:56,58
18/5/2020,05:03,56,20:50,304,15:47:00,12:56,58.2
19/5/2020,05:02,56,20:52,305,15:49:46,12:57,58.4
20/5/2020,05:01,55,20:53,305,15:52:29,12:57,58.6
21/5/2020,05:00,55,20:55,305,15:55:09,12:57,58.8
22/5/2020,04:58,55,20:56,306,15:57:45,12:57,59
23/5/2020,04:57,54,20:57,306,16:00:17,12:57,59.2
24/5/2020,04:56,54,20:59,306,16:02:45,12:57,59.4
25/5/2020,04:55,54,21:00,307,16:05:09,12:57,59.6
26/5/2020,04:54,53,21:01,307,16:07:29,12:57,59.8
27/5/2020,04:53,53,21:02,307,16:09:45,12:57,59.9
28/5/2020,04:52,53,21:04,308,16:11:56,12:57,60.1
29/5/2020,04:51,52,21:05,308,16:14:03,12:57,60.2
30/5/2020,04:50,52,21:06,308,16:16:05,12:58,60.4
31/5/2020,04:49,52,21:07,308,16:18:03,12:58,60.5
1/6/2020,04:48,51,21:08,309,16:19:55,12:58,60.7
2/6/2020,04:48,51,21:09,309,16:21:43,12:58,60.8
3/6/2020,04:47,51,21:10,309,16:23:26,12:58,60.9
4/6/2020,04:46,51,21:11,309,16:25:03,12:58,61
5/6/2020,04:46,51,21:12,310,16:26:35,12:59,61.1
6/6/2020,04:45,50,21:13,310,16:28:02,12:59,61.2
7/6/2020,04:45,50,21:14,310,16:29:24,12:59,61.3
8/6/2020,04:44,50,21:15,310,16:30:40,12:59,61.4
9/6/2020,04:44,50,21:15,310,16:31:50,12:59,61.5
10/6/2020,04:43,50,21:16,310,16:32:55,13:00,61.6
11/6/2020,04:43,50,21:17,311,16:33:54,13:00,61.6
12/6/2020,04:43,49,21:18,311,16:34:47,13:00,61.7
13/6/2020,04:43,49,21:18,311,16:35:35,13:00,61.7
14/6/2020,04:42,49,21:19,311,16:36:16,13:00,61.8
15/6/2020,04:42,49,21:19,311,16:36:52,13:01,61.8
16/6/2020,04:42,49,21:20,311,16:37:22,13:01,61.9
17/6/2020,04:42,49,21:20,311,16:37:45,13:01,61.9
18/6/2020,04:42,49,21:20,311,16:38:03,13:01,61.9
19/6/2020,04:42,49,21:21,311,16:38:15,13:01,61.9
20/6/2020,04:43,49,21:21,311,16:38:20,13:02,61.9
21/6/2020,04:43,49,21:21,311,16:38:19,13:02,61.9
22/6/2020,04:43,49,21:21,311,16:38:13,13:02,61.9
23/6/2020,04:43,49,21:21,311,16:38:00,13:02,61.9
24/6/2020,04:44,49,21:21,311,16:37:41,13:03,61.9
25/6/2020,04:44,49,21:21,311,16:37:16,13:03,61.9
26/6/2020,04:45,49,21:21,311,16:36:46,13:03,61.8
27/6/2020,04:45,49,21:21,311,16:36:09,13:03,61.8
28/6/2020,04:46,49,21:21,311,16:35:26,13:03,61.7
29/6/2020,04:46,49,21:21,311,16:34:38,13:04,61.7
30/6/2020,04:47,49,21:21,310,16:33:43,13:04,61.6
